Song,Artist,sentiment_category
Lean On,Major Lazer,positive
Learned It From The Radio,Thomas Rhett,positive
Learn From It,Conner Smith,negative
Leave Before You Love Me (with Jonas Brothers),Marshmello,positive
Led,GOTOU寄生獣,negative
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,positive
Let's Get It On,Marvin Gaye,positive
Let's Get Ridiculous,Redfoo,negative
Let's Groove,"Earth, Wind & Fire",positive
Let the Moonshine,Luke Combs,positive
Levels - Original Version,Avicii,positive
Levitating,Dua Lipa,positive
Life Ain't Easy,Mac Miller,positive
Life Goes On,Oliver Tree,positive
Lifelines,I Prevail,positive
Life's Too Short,Two Friends,negative
Lift Your Head Weary Sinner (Chains),Crowder,positive
Like A Wrecking Ball,Eric Church,positive
Lil Bit,Nelly,negative
Lions in the Wild,Martin Garrix,positive
Little Lion Man,Mumford & Sons,negative
A Little More Summertime,Jason Aldean,positive
Little Rain,Morgan Wallen,positive
Live Free,Mac Miller,positive
Livin' The Dream,Drake White,positive
Livin’ The Dream,Morgan Wallen,negative
Lookin' Out My Back Door,Creedence Clearwater Revival,positive
Look What God Gave Her,Thomas Rhett,positive
Loud and Heavy,Cody Jinks,positive
Love Drunk,Boys Like Girls,negative
Love Me Harder,Ariana Grande,positive
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,positive
Love Myself,Hailee Steinfeld,positive
Love Story,Taylor Swift,positive
Love Tonight (David Guetta Remix Edit),Shouse,negative
Love You Like I Used To,Russell Dickerson,positive
Love Yourself,Justin Bieber,negative
Lovin' On You,Luke Combs,positive
LRAD,Knife Party,positive
Lucky You (feat. Joyner Lucas),Eminem,positive
Made For You,Jake Owen,positive
Magic In The Hamptons (feat. Lil Yachty),Social House,positive
Make Me Wanna,Thomas Rhett,positive
Make You Mine,High Valley,positive
Makin’ Me Look Good Again,Drake White,positive
Mama,Jonas Blue,positive
Mama Said,Lukas Graham,positive
Mamma Mia,ABBA,negative
A Man Without Love,Engelbert Humperdinck,positive
Marlboro Nights,Lonely God,positive
Marsh,Eminem,negative
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,negative
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,positive
Meet Me At Our Spot,THE ANXIETY,positive
"Me, Myself & I",G-Eazy,positive
Mercy,Shawn Mendes,positive
The Middle,Zedd,positive
The Middle,Zedd,positive
Midnight Special,Creedence Clearwater Revival,positive
Millionaire,Chris Stapleton,positive
Mind Your Manners (feat. Icona Pop),Chiddy Bang,positive
Mine,Taylor Swift,positive
Misery,blink-182,positive
Missed Calls,Mac Miller,positive
Missin' You Crazy,Jon Pardi,positive
Modern Love,Coasts,positive
Money for Nothing,Dire Straits,negative
MONTERO (Call Me By Your Name),Lil Nas X,positive
Mood (feat. iann dior),24kGoldn,positive
More Than My Hometown,Morgan Wallen,positive
Mount Everest,Labrinth,negative
Move Along,The All-American Rejects,positive
Mr. Brightside,The Killers,positive
Must Be Doin' Somethin' Right,Billy Currington,positive
My Body,Young the Giant,negative
My Boy,Elvie Shane,negative
My Boy - My Girl Version,Elvie Shane,negative
my ex's best friend (with blackbear),Machine Gun Kelly,positive
My Girl,Dylan Scott,negative
My Girl,The Temptations,positive
My Kinda Party,Jason Aldean,positive
My Name Is,Eminem,negative
My Oh My (feat. DaBaby),Camila Cabello,negative
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,negative
My Type,Saint Motel,positive
Natural,Imagine Dragons,positive
Neon Eyes,Morgan Wallen,positive
Never Be Like You (feat. Kai),Flume,positive
Never Be the Same - Radio Edit,Camila Cabello,negative
New Americana,Halsey,positive
Nightcall,Kavinsky,positive
The Nights,Avicii,positive
Night Shift,Jon Pardi,positive
Nightstand,Justus Bennetts,positive
Nobody But You (Duet with Gwen Stefani),Blake Shelton,positive
No Interruption,Hoodie Allen,positive
No More Trouble,Shamanic Dub,positive
No Role Modelz,J. Cole,negative
No Roots,Alice Merton,positive
No Sleep,Wiz Khalifa,positive
Not Afraid,Eminem,positive
Not Alike (feat. Royce Da 5'9),Eminem,positive
Nothin' But A Good Time - Remastered 2006,Poison,positive
Novocaine,Fall Out Boy,positive
No Way Out (feat. Shannon Saunders),Mashd N Kutcher,positive
Now Or Never,Halsey,positive
NUMB,Chri$tian Gate$,negative
Numb Little Bug,Em Beihold,negative
ocean eyes,Billie Eilish,positive
Ocean (feat. Khalid),Martin Garrix,positive
Ocean Man,Ween,positive
Oceans,Coasts,positive
Old Alabama (feat. Alabama),Brad Paisley,positive
ONE BEER (feat. Lauren Alaina & Devin Dawson),HARDY,negative
One Click Headshot - Original Mix,Feed Me,positive
One Last Time,Ariana Grande,negative
One Man Band,Old Dominion,positive
One Number Away,Luke Combs,negative
One Thing Right,Marshmello,positive
The Only Way I Know (with Luke Bryan and Eric Church),Jason Aldean,positive
On My Mind,Ellie Goulding,negative
On Top Of The World,Imagine Dragons,positive
Ooh La La,Faces,negative
oops!,Yung Gravy,negative
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,negative
oui,Jeremih,negative
Overtime,Cash Cash,positive
overwhelmed - Chri$tian Gate$ remix,Royal & the Serpent,positive
PAINTING PICTURES,Superstar Pride,negative
Panda,Desiigner,negative
